[05-Jun-2016 11:57:06 Europe/Paris] PHP Fatal error:  Call to undefined method CustomerManager::getSubList() in E:\EasyPHP\data\localweb\clim\module\client\update_client.php on line 23 
[22-Jan-2017 10:46:30 Europe/Paris] PHP Notice:  Undefined index: dateOfBuy in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 15
[22-Jan-2017 10:47:32 Europe/Paris] PHP Notice:  Undefined index: dateOfBuy in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 15
[22-Jan-2017 10:49:05 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 61
[22-Jan-2017 10:49:38 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 61
[22-Jan-2017 10:49:40 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 61
[22-Jan-2017 10:59:03 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 62
[22-Jan-2017 16:08:06 Europe/Paris] PHP Notice:  Undefined variable: start in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 77
[22-Jan-2017 16:08:06 Europe/Paris] PHP Notice:  Undefined variable: end in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 77
[22-Jan-2017 16:08:06 Europe/Paris] PHP Notice:  Undefined variable: start in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 78
[22-Jan-2017 16:08:06 Europe/Paris] PHP Notice:  Undefined variable: end in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 78
[22-Jan-2017 16:08:06 Europe/Paris] PHP Notice:  Undefined variable: start in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 77
[22-Jan-2017 16:08:06 Europe/Paris] PHP Notice:  Undefined variable: end in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 77
[22-Jan-2017 16:08:06 Europe/Paris] PHP Notice:  Undefined variable: start in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 78
[22-Jan-2017 16:08:06 Europe/Paris] PHP Notice:  Undefined variable: end in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 78
[22-Jan-2017 17:20:45 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 104
[22-Jan-2017 17:23:08 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 104
[22-Jan-2017 17:23:26 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 104
[22-Jan-2017 17:25:23 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 105
[22-Jan-2017 17:26:37 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 105
[22-Jan-2017 17:27:37 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 105
[22-Jan-2017 17:44:01 Europe/Paris] PHP Warning:  preg_match(): Compilation failed: nothing to repeat at offset 0 in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 56
[22-Jan-2017 17:44:01 Europe/Paris] PHP Warning:  preg_match(): Compilation failed: nothing to repeat at offset 0 in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 92
[23-Jan-2017 22:46:24 Europe/Paris] PHP Warning:  Missing argument 5 for Generic::getData(), called in E:\EasyPHP\data\localweb\clim\fluido\proc\listBottle.php on line 109 and defined in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 16
[23-Jan-2017 22:46:24 Europe/Paris] PHP Notice:  Undefined variable: order in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 85
[23-Jan-2017 22:46:24 Europe/Paris] PHP Notice:  Undefined variable: order in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 88
[25-Jan-2017 08:51:31 Europe/Paris] PHP Notice:  Undefined index: seek in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 16
[25-Jan-2017 08:51:31 Europe/Paris] PHP Warning:  include(E:/EasyPHP/data/localweb/clim/module/client/class/CustomerManager.php): failed to open stream: No such file or directory in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 17
[25-Jan-2017 08:51:31 Europe/Paris] PHP Warning:  include(): Failed opening 'E:/EasyPHP/data/localweb/clim/module/client/class/CustomerManager.php' for inclusion (include_path='.;C:\php\pear') in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 17
[25-Jan-2017 08:51:32 Europe/Paris] PHP Fatal error:  Class 'CustomerManager' not found in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 19
[25-Jan-2017 08:56:27 Europe/Paris] PHP Notice:  Undefined index: seek in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 16
[25-Jan-2017 08:56:28 Europe/Paris] PHP Warning:  Missing argument 5 for Generic::getData(), called in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 26 and defined in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 16
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined variable: order in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 85
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined variable: order in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 88
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 41
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 43
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: firstName in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 44
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 45
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 46
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 47
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 41
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 43
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: firstName in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 44
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 45
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 46
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 47
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 41
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 43
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: firstName in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 44
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 45
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 46
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 47
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 41
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 43
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: firstName in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 44
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 45
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 46
[25-Jan-2017 08:56:28 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 47
[25-Jan-2017 16:12:14 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 55
[25-Jan-2017 16:12:14 Europe/Paris] PHP Notice:  Undefined index: firstName in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 56
[25-Jan-2017 16:12:14 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 55
[25-Jan-2017 16:12:14 Europe/Paris] PHP Notice:  Undefined index: firstName in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 56
[25-Jan-2017 16:12:14 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 55
[25-Jan-2017 16:12:14 Europe/Paris] PHP Notice:  Undefined index: firstName in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 56
[25-Jan-2017 16:12:14 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 55
[25-Jan-2017 16:12:14 Europe/Paris] PHP Notice:  Undefined index: firstName in E:\EasyPHP\data\localweb\clim\client\proc\seek_client.php on line 56
[25-Jan-2017 16:18:09 Europe/Paris] PHP Notice:  Undefined variable: tabTile in E:\EasyPHP\data\localweb\clim\inc\table.php on line 6
[25-Jan-2017 16:18:09 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\inc\table.php on line 18
[25-Jan-2017 16:19:03 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\inc\table.php on line 18
[25-Jan-2017 16:21:30 Europe/Paris] PHP Parse error:  syntax error, unexpected '!=' (T_IS_NOT_EQUAL) in E:\EasyPHP\data\localweb\clim\inc\table.php on line 10
[25-Jan-2017 16:53:24 Europe/Paris] PHP Warning:  include(E:/EasyPHP/data/localweb/clim/module/client/class/CustomerManager.php): failed to open stream: No such file or directory in E:\EasyPHP\data\localweb\clim\client\new_client.php on line 18
[25-Jan-2017 16:53:24 Europe/Paris] PHP Warning:  include(): Failed opening 'E:/EasyPHP/data/localweb/clim/module/client/class/CustomerManager.php' for inclusion (include_path='.;C:\php\pear') in E:\EasyPHP\data\localweb\clim\client\new_client.php on line 18
[25-Jan-2017 16:53:24 Europe/Paris] PHP Fatal error:  Class 'CustomerManager' not found in E:\EasyPHP\data\localweb\clim\client\new_client.php on line 19
[25-Jan-2017 16:54:20 Europe/Paris] PHP Warning:  include(E:/EasyPHP/data/localweb/clim/module/client/class/CustomerManager.php): failed to open stream: No such file or directory in E:\EasyPHP\data\localweb\clim\client\new_client.php on line 18
[25-Jan-2017 16:54:20 Europe/Paris] PHP Warning:  include(): Failed opening 'E:/EasyPHP/data/localweb/clim/module/client/class/CustomerManager.php' for inclusion (include_path='.;C:\php\pear') in E:\EasyPHP\data\localweb\clim\client\new_client.php on line 18
[25-Jan-2017 16:54:20 Europe/Paris] PHP Fatal error:  Class 'CustomerManager' not found in E:\EasyPHP\data\localweb\clim\client\new_client.php on line 19
[25-Jan-2017 16:55:54 Europe/Paris] PHP Warning:  include(E:/EasyPHP/data/localweb/clim/module/client/class/CustomerManager.php): failed to open stream: No such file or directory in E:\EasyPHP\data\localweb\clim\client\new_client.php on line 18
[25-Jan-2017 16:55:54 Europe/Paris] PHP Warning:  include(): Failed opening 'E:/EasyPHP/data/localweb/clim/module/client/class/CustomerManager.php' for inclusion (include_path='.;C:\php\pear') in E:\EasyPHP\data\localweb\clim\client\new_client.php on line 18
[25-Jan-2017 16:55:54 Europe/Paris] PHP Fatal error:  Class 'CustomerManager' not found in E:\EasyPHP\data\localweb\clim\client\new_client.php on line 19
[25-Jan-2017 17:17:24 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\class\Customer.php on line 22
[25-Jan-2017 17:18:31 Europe/Paris] PHP Notice:  Undefined index: adress in E:\EasyPHP\data\localweb\clim\client\class\Customer.php on line 27
[25-Jan-2017 17:28:20 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\client\class\CustomerManager.php on line 145
[25-Jan-2017 17:31:09 Europe/Paris] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in E:\EasyPHP\data\localweb\clim\client\class\CustomerManager.php on line 116
[25-Jan-2017 18:20:25 Europe/Paris] PHP Warning:  include(E:/EasyPHP/data/localweb/clim/module/client/class/SubManager.php): failed to open stream: No such file or directory in E:\EasyPHP\data\localweb\clim\client\proc\seek_sub.php on line 17
[25-Jan-2017 18:20:25 Europe/Paris] PHP Warning:  include(): Failed opening 'E:/EasyPHP/data/localweb/clim/module/client/class/SubManager.php' for inclusion (include_path='.;C:\php\pear') in E:\EasyPHP\data\localweb\clim\client\proc\seek_sub.php on line 17
[25-Jan-2017 18:20:26 Europe/Paris] PHP Fatal error:  Class 'SubManager' not found in E:\EasyPHP\data\localweb\clim\client\proc\seek_sub.php on line 19
[26-Jan-2017 22:28:46 Europe/Paris] PHP Notice:  Undefined variable: CustomerManager in E:\EasyPHP\data\localweb\clim\client\client.php on line 38
[26-Jan-2017 22:28:46 Europe/Paris] PHP Fatal error:  Call to a member function getData() on a non-object in E:\EasyPHP\data\localweb\clim\client\client.php on line 38
[26-Jan-2017 22:28:55 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 37
[26-Jan-2017 22:28:55 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 92
[26-Jan-2017 22:35:34 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 37
[26-Jan-2017 22:35:34 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 92
[27-Jan-2017 11:48:22 Europe/Paris] PHP Notice:  Array to string conversion in E:\EasyPHP\data\localweb\clim\client\client.php on line 71
[01-Feb-2017 20:19:11 Europe/Paris] PHP Notice:  Undefined index: id in E:\EasyPHP\data\localweb\clim\inc\header.php on line 8
[01-Feb-2017 20:37:08 Europe/Paris] PHP Fatal error:  Call to undefined method CustomerManager::getCustomerByID() in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 27
[01-Feb-2017 20:39:39 Europe/Paris] PHP Warning:  include(E:/EasyPHP/data/localweb/clim/client/class/Generic.php): failed to open stream: No such file or directory in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 28
[01-Feb-2017 20:39:39 Europe/Paris] PHP Warning:  include(): Failed opening 'E:/EasyPHP/data/localweb/clim/client/class/Generic.php' for inclusion (include_path='.;C:\php\pear') in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 28
[01-Feb-2017 20:39:39 Europe/Paris] PHP Fatal error:  Class 'Generic' not found in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 29
[01-Feb-2017 20:39:51 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 37
[01-Feb-2017 20:39:51 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 92
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: status in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 43
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: status in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 44
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: civility_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 51
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: civility_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 51
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: civility_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 51
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 55
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: sub_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 65
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: sub_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 65
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: sub_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 65
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: contact in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 69
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: name in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 73
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: firstName in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 74
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: adress in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 76
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: tel in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 77
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: port in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 78
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: mail in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 79
[01-Feb-2017 20:41:00 Europe/Paris] PHP Notice:  Undefined index: com in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 81
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: status in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 44
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: status in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 45
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: civility_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 52
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: civility_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 52
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: civility_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 52
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 56
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: sub_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 66
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: sub_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 66
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: sub_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 66
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: contact in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 70
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: name in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 74
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: firstName in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 75
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: adress in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 77
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: tel in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 78
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: port in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 79
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: mail in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 80
[01-Feb-2017 20:53:20 Europe/Paris] PHP Notice:  Undefined index: com in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 82
[01-Feb-2017 20:53:35 Europe/Paris] PHP Notice:  Undefined index: civility_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 53
[01-Feb-2017 20:53:35 Europe/Paris] PHP Notice:  Undefined index: civility_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 53
[01-Feb-2017 20:53:35 Europe/Paris] PHP Notice:  Undefined index: civility_id in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 53
[01-Feb-2017 20:53:35 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 57
[01-Feb-2017 20:53:35 Europe/Paris] PHP Notice:  Undefined index: adress in E:\EasyPHP\data\localweb\clim\client\update_client.php on line 78
[01-Feb-2017 21:40:39 Europe/Paris] PHP Notice:  Undefined index: contact in E:\EasyPHP\data\localweb\clim\client\class\Customer.php on line 27
[01-Feb-2017 21:40:55 Europe/Paris] PHP Notice:  Undefined index: contact in E:\EasyPHP\data\localweb\clim\client\class\Customer.php on line 27
[01-Feb-2017 21:41:01 Europe/Paris] PHP Notice:  Undefined index: contact in E:\EasyPHP\data\localweb\clim\client\class\Customer.php on line 27
[02-Feb-2017 21:48:39 Europe/Paris] PHP Notice:  Undefined index: raod in E:\EasyPHP\data\localweb\clim\client\class\Sub.php on line 20
[02-Feb-2017 21:48:43 Europe/Paris] PHP Notice:  Undefined index: raod in E:\EasyPHP\data\localweb\clim\client\class\Sub.php on line 20
[02-Feb-2017 21:48:48 Europe/Paris] PHP Notice:  Undefined index: raod in E:\EasyPHP\data\localweb\clim\client\class\Sub.php on line 20
[02-Feb-2017 21:48:52 Europe/Paris] PHP Notice:  Undefined index: raod in E:\EasyPHP\data\localweb\clim\client\class\Sub.php on line 20
[02-Feb-2017 22:13:36 Europe/Paris] PHP Notice:  Undefined index: port in E:\EasyPHP\data\localweb\clim\client\view_sub.php on line 76
[02-Feb-2017 22:27:43 Europe/Paris] PHP Notice:  Undefined index: status in E:\EasyPHP\data\localweb\clim\client\class\Customer.php on line 23
[02-Feb-2017 22:27:57 Europe/Paris] PHP Notice:  Undefined index: status in E:\EasyPHP\data\localweb\clim\client\class\Customer.php on line 23
[04-Feb-2017 10:06:20 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 43
[04-Feb-2017 10:50:50 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 44
[04-Feb-2017 10:51:59 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 44
[04-Feb-2017 10:52:15 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 44
[04-Feb-2017 10:54:04 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 37
[04-Feb-2017 10:54:04 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\class\Generic.php on line 92
[04-Feb-2017 11:14:56 Europe/Paris] PHP Parse error:  syntax error, unexpected '<' in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 38
[04-Feb-2017 18:17:52 Europe/Paris] PHP Notice:  Undefined index: customerId in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 40
[04-Feb-2017 18:19:31 Europe/Paris] PHP Notice:  Undefined index: customerId in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 40
[04-Feb-2017 18:19:55 Europe/Paris] PHP Notice:  Undefined index: customerId in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 40
[04-Feb-2017 18:21:14 Europe/Paris] PHP Notice:  Undefined index: customerId in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 40
[04-Feb-2017 18:23:59 Europe/Paris] PHP Notice:  Undefined index: customerId in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 40
[04-Feb-2017 18:25:30 Europe/Paris] PHP Notice:  Undefined index: customerId in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 40
[04-Feb-2017 18:26:02 Europe/Paris] PHP Notice:  Undefined index: customerId in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 40
[04-Feb-2017 18:36:45 Europe/Paris] PHP Notice:  Undefined variable: CustomerManager in E:\EasyPHP\data\localweb\clim\status\proc\set_status.php on line 28
[04-Feb-2017 18:36:45 Europe/Paris] PHP Fatal error:  Call to a member function getData() on a non-object in E:\EasyPHP\data\localweb\clim\status\proc\set_status.php on line 28
[04-Feb-2017 18:37:12 Europe/Paris] PHP Fatal error:  Class 'StatusClient' not found in E:\EasyPHP\data\localweb\clim\status\proc\set_status.php on line 33
[04-Feb-2017 18:37:40 Europe/Paris] PHP Warning:  preg_match(): Compilation failed: range out of order in character class at offset 12 in E:\EasyPHP\data\localweb\clim\status\class\StatusClient.php on line 39
[05-Feb-2017 10:31:24 Europe/Paris] PHP Warning:  preg_split(): Unknown modifier '\' in E:\EasyPHP\data\localweb\clim\status\class\StatusClient.php on line 42
[05-Feb-2017 10:31:50 Europe/Paris] PHP Warning:  preg_split(): Unknown modifier '\' in E:\EasyPHP\data\localweb\clim\status\class\StatusClient.php on line 42
[05-Feb-2017 10:32:28 Europe/Paris] PHP Notice:  Undefined index: date in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 28
[05-Feb-2017 10:32:28 Europe/Paris] PHP Notice:  Undefined index: customerId in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 49
[05-Feb-2017 10:32:28 Europe/Paris] PHP Notice:  Undefined index: customerId in E:\EasyPHP\data\localweb\clim\status\inc\show_status.php on line 49
